DATE_TIME,current_contract,next_contract,carry_contract
2023-01-11 06:00:00,20230100,20230200,20230200
2023-02-10 00:00:00,20230200,20230300,20230300
2023-03-10 00:00:00,20230300,20230400,20230400
2023-04-11 01:00:00,20230400,20230500,20230500
2023-05-11 01:00:00,20230500,20230600,20230600
2023-06-11 22:00:00,20230600,20230700,20230700
2023-07-11 05:00:00,20230700,20230800,20230800
2023-08-11 01:00:00,20230800,20230900,20230900
2023-09-11 05:00:00,20230900,20231000,20231000
2023-10-11 05:00:00,20231000,20231100,20231100
2023-11-10 00:00:00,20231100,20231200,20231200
2023-12-11 00:00:00,20231200,20240100,20240100
2024-01-11 01:00:00,20240100,20240200,20240200
2024-02-11 23:00:00,20240200,20240300,20240300
2024-03-11 00:00:00,20240300,20240400,20240400
2024-04-11 00:00:00,20240400,20240500,20240500
2024-05-10 00:00:00,20240500,20240600,20240600
2024-06-11 00:00:00,20240600,20240700,20240700
2024-07-11 00:00:00,20240700,20240800,20240800
2024-08-11 22:00:00,20240800,20240900,20240900
2024-09-11 02:00:00,20240900,20241000,20241000
2024-10-11 05:00:00,20241000,20241100,20241100
2024-11-11 00:00:00,20241100,20241200,20241200
2024-12-11 00:00:00,20241200,20250100,20250100
2025-01-09 01:00:00,20250100,20250200,20250200
